customer_id,tenure_months,monthly_charges,total_usage_gb,support_tickets,contract_type,payment_delay_days,churn,revenue,churn_risk_score,risk_segment
60,34,1764,831,6,Monthly,7,1,59976,0.4724841880229275,Medium Risk
61,62,2407,35,6,Yearly,14,1,149234,0.5985259585738087,Medium Risk
62,14,1558,478,9,Monthly,44,1,21812,0.999755605296573,High Risk
63,48,3249,871,3,Quarterly,28,0,155952,0.6617960834088512,High Risk
64,15,2548,485,8,Quarterly,27,1,38220,0.9934814195054211,High Risk
65,62,4748,365,1,Monthly,21,0,294376,0.11045954745805865,Low Risk
66,40,2976,35,8,Monthly,33,1,119040,0.9956188677302995,High Risk
67,53,4516,43,9,Quarterly,19,1,239348,0.9805427894602232,High Risk
68,24,3697,273,2,Quarterly,32,1,88728,0.7543730198785235,High Risk
69,26,4053,147,1,Monthly,14,0,105378,0.0817966202430553,Low Risk
70,60,4940,825,3,Yearly,6,0,296400,0.057767468234752574,Low Risk
71,41,2261,704,4,Yearly,23,0,92701,0.6714510678814236,High Risk
72,29,720,884,1,Monthly,25,0,20880,0.23475942111181886,Low Risk
73,15,3388,763,0,Yearly,49,1,50820,0.9148318882430674,High Risk
74,45,2164,575,9,Quarterly,9,1,97380,0.9082158035031243,High Risk
75,65,4486,471,4,Quarterly,14,0,291590,0.276532276587863,Low Risk
76,71,3477,177,8,Yearly,36,1,246867,0.9947012967928588,High Risk
77,9,2371,640,4,Monthly,58,1,21339,0.998936593767231,High Risk
78,1,1962,664,9,Quarterly,23,1,1962,0.9956402503861554,High Risk
79,8,844,90,8,Quarterly,10,1,6752,0.9148367697982986,High Risk
80,63,544,766,9,Quarterly,39,1,34272,0.9981785053065388,High Risk
81,11,2568,923,5,Yearly,20,0,28248,0.8511247627947729,High Risk
82,8,2014,873,2,Monthly,39,1,16112,0.9145411373175647,High Risk
83,35,3098,879,3,Yearly,37,1,108430,0.9118387826431759,High Risk
84,35,1501,416,3,Monthly,14,0,52535,0.19986579784296563,Low Risk
85,33,1533,583,0,Monthly,14,0,50589,0.02563343436966238,Low Risk
86,5,2540,55,2,Yearly,36,1,12700,0.8848026795868372,High Risk
87,41,773,608,2,Quarterly,44,1,31693,0.903693693363835,High Risk
88,28,3147,620,0,Monthly,13,0,88116,0.029604354944582963,Low Risk
89,7,2279,816,8,Yearly,42,1,15953,0.9994395460970501,High Risk
90,12,4976,920,0,Quarterly,51,1,59712,0.9495421684545321,High Risk
91,34,978,62,8,Monthly,20,1,33252,0.9655087686089093,High Risk
92,33,1015,993,0,Monthly,43,1,33495,0.682020203984234,High Risk
93,48,4786,713,1,Quarterly,19,0,229728,0.11221225023870085,Low Risk
94,23,1691,968,1,Monthly,32,1,38893,0.5362923820352864,Medium Risk
95,62,3168,485,5,Yearly,2,0,196416,0.10668159041860839,Low Risk
96,37,1911,601,6,Monthly,39,1,70707,0.9915128072336078,High Risk
97,44,3780,25,0,Monthly,22,0,166320,0.08327435780086752,Low Risk
98,35,771,369,2,Quarterly,43,1,26985,0.90224758059154,High Risk
99,65,642,496,1,Yearly,46,1,41730,0.7710789277682976,High Risk
100,47,3832,847,7,Quarterly,22,1,180104,0.9481426442779772,High Risk
101,3,1287,715,8,Yearly,26,1,3861,0.9933171187566867,High Risk
102,1,2181,511,1,Quarterly,34,1,2181,0.7338657945199666,High Risk
103,5,1122,150,1,Monthly,24,1,5610,0.323314779253165,Medium Risk
104,14,4341,629,9,Yearly,31,1,60774,0.9986942361297996,High Risk
105,27,4176,824,8,Yearly,21,1,112752,0.9823184902782448,High Risk
106,9,3072,786,3,Monthly,7,0,27648,0.15636210779567689,Low Risk
107,15,3760,456,4,Quarterly,55,1,56400,0.9983533469816208,High Risk
108,42,566,299,8,Yearly,50,1,23772,0.999554396067121,High Risk
109,51,4786,218,5,Monthly,51,1,244086,0.9971356483907342,High Risk
110,63,1640,484,9,Monthly,37,1,103320,0.9978190401254005,High Risk
111,52,2814,422,8,Yearly,17,1,146328,0.9352851151362974,High Risk
112,4,3032,686,8,Yearly,27,1,12128,0.9952028038810057,High Risk
113,23,4080,436,6,Yearly,27,1,93840,0.9703269117720568,High Risk
114,15,1687,863,9,Monthly,10,1,25305,0.9559886641297914,High Risk
115,43,4971,380,8,Quarterly,11,1,213753,0.900656217945985,High Risk
116,29,3839,841,4,Quarterly,54,1,111331,0.9973794179778306,High Risk
117,36,1048,673,4,Yearly,1,0,37728,0.06323056200874087,Low Risk
118,13,4587,976,7,Monthly,58,1,59631,0.9999095843410367,High Risk
119,32,572,299,9,Monthly,36,1,18304,0.9985843402704383,High Risk
120,71,698,441,3,Yearly,59,1,49558,0.9902113695254946,High Risk
121,59,3701,277,8,Monthly,3,1,218359,0.6129411514830149,High Risk
122,28,2281,160,6,Monthly,40,1,63868,0.994312483768128,High Risk
123,66,1071,728,6,Monthly,44,1,70686,0.9915699270901092,High Risk
124,42,1290,264,2,Yearly,44,1,54180,0.9068722377405115,High Risk
125,45,2138,362,3,Yearly,46,1,96210,0.9670767035944363,High Risk
126,62,2331,386,6,Yearly,33,1,144522,0.9648816334900192,High Risk
127,57,2355,662,4,Quarterly,22,0,134235,0.5510752808795302,Medium Risk
128,6,1674,864,2,Quarterly,12,0,10044,0.14471928929653347,Low Risk
129,28,4240,367,0,Yearly,6,0,118720,0.011661303603932397,Low Risk
130,28,3777,617,6,Monthly,31,1,105756,0.9811630665557481,High Risk
131,44,678,950,5,Monthly,22,0,29832,0.7455866952481928,High Risk
132,30,2744,379,9,Yearly,48,1,82320,0.9998338779859568,High Risk
133,62,4586,236,6,Monthly,7,1,284332,0.3954146240690191,Medium Risk
134,62,1234,714,1,Monthly,49,1,76508,0.8597704843270363,High Risk
135,1,1298,312,3,Quarterly,46,1,1298,0.9864985244188833,High Risk
136,27,1287,835,1,Monthly,46,1,34749,0.8966420930139197,High Risk
137,62,3295,398,7,Monthly,36,1,204290,0.9905609848329042,High Risk
138,3,4804,386,6,Yearly,33,1,14412,0.9929867591301809,High Risk
139,70,3584,982,0,Quarterly,47,1,250880,0.6959874810299853,High Risk
140,27,3418,127,1,Quarterly,28,0,92286,0.4106742244416015,Medium Risk
141,9,1231,14,1,Monthly,36,1,11079,0.7365916064531969,High Risk
142,62,1629,453,3,Yearly,22,0,100998,0.31850689351412725,Medium Risk
143,37,3946,361,2,Quarterly,37,1,146002,0.8350819806957172,High Risk
144,51,2105,764,0,Quarterly,28,0,107355,0.1381721078137018,Low Risk
145,44,4278,542,1,Monthly,43,1,188232,0.8397453869310291,High Risk
146,24,3245,673,8,Quarterly,4,1,77880,0.79624956280646,High Risk
147,59,3670,649,0,Yearly,51,1,216530,0.8462843980137075,High Risk
148,32,3433,133,8,Yearly,39,1,109856,0.9986216420809897,High Risk
149,52,1715,667,6,Quarterly,10,1,89180,0.483246162246364,Medium Risk
150,62,824,286,1,Yearly,13,0,51088,0.022486787304701713,Low Risk
151,58,2350,831,1,Yearly,55,1,136300,0.9506207239914548,High Risk
152,52,1990,403,4,Monthly,48,1,103480,0.9863041717195932,High Risk
153,12,1393,673,4,Quarterly,41,1,16716,0.982839298450902,High Risk
154,39,1890,369,3,Quarterly,1,0,73710,0.031265161811333306,Low Risk
155,2,3889,632,9,Monthly,34,1,7778,0.9993407900770613,High Risk
156,3,4739,478,9,Monthly,44,1,14217,0.9998686914069383,High Risk
157,56,4979,994,2,Monthly,48,1,278824,0.9525062694671795,High Risk
158,59,2763,637,3,Monthly,58,1,163017,0.9931567557762202,High Risk
159,2,3932,709,9,Yearly,34,1,7864,0.9993440693327973,High Risk
160,2,2871,66,3,Yearly,41,1,5742,0.9754415647352597,High Risk
161,54,3586,260,1,Monthly,27,0,193644,0.24702966110252308,Low Risk
162,1,4812,905,4,Quarterly,7,1,4812,0.3697158688279029,Medium Risk
163,19,2015,928,4,Quarterly,31,1,38285,0.9184314000106855,High Risk
164,2,3417,159,4,Quarterly,3,1,6834,0.20856864708019046,Low Risk
165,53,2852,461,9,Monthly,44,1,151156,0.9994858771369464,High Risk
166,44,1667,171,0,Yearly,6,0,73348,0.006028753051847725,Low Risk
167,32,610,129,5,Yearly,38,1,19520,0.9781981313616036,High Risk
168,70,4827,591,1,Yearly,47,1,337890,0.8505967526334349,High Risk
169,32,4155,933,6,Yearly,26,1,132960,0.9583507779197422,High Risk
170,68,4293,360,3,Quarterly,36,1,291924,0.8270104073714338,High Risk
171,55,2255,108,4,Quarterly,59,1,124025,0.9973511602880859,High Risk
172,56,2077,176,4,Yearly,16,0,116312,0.325787214779435,Medium Risk
173,17,1796,819,4,Monthly,9,0,30532,0.2803744495883449,Low Risk
174,38,4274,672,1,Yearly,3,0,162412,0.01261988579087751,Low Risk
175,24,2720,847,4,Yearly,22,0,65280,0.7318318831797971,High Risk
176,69,1472,985,2,Monthly,13,0,101568,0.04349703834779799,Low Risk
177,70,1530,523,3,Yearly,4,0,107100,0.02355721792429944,Low Risk
178,11,3093,673,1,Quarterly,1,0,34023,0.014986675430373252,Low Risk
179,16,4492,410,3,Monthly,45,1,71872,0.9846973729926886,High Risk
180,59,1413,374,8,Monthly,23,1,83367,0.9634123361897351,High Risk
181,70,2681,586,7,Yearly,17,1,187670,0.8139647843044627,High Risk
182,3,3697,335,2,Quarterly,26,1,11091,0.6638592032209689,High Risk
183,20,1962,590,0,Quarterly,23,0,39240,0.12947681912393458,Low Risk
184,59,2878,642,0,Quarterly,28,0,169802,0.12738766151594028,Low Risk
185,36,3954,630,5,Yearly,10,0,142344,0.44839509634203994,Medium Risk
186,19,4053,837,2,Yearly,47,1,77007,0.973024260230943,High Risk
187,67,1807,256,3,Quarterly,17,0,121069,0.1646860841450146,Low Risk
188,19,1689,443,0,Yearly,58,1,32091,0.9698135009247966,High Risk
189,20,1187,102,7,Quarterly,47,1,23740,0.999145220615013,High Risk
190,71,1707,277,0,Yearly,52,1,121197,0.7952161380837267,High Risk
191,52,2394,624,4,Monthly,3,0,124488,0.06922849280531274,Low Risk
192,33,2311,952,5,Monthly,32,1,76263,0.95500705224843,High Risk
193,40,3683,972,1,Yearly,13,0,147320,0.050406308585848554,Low Risk
194,39,4297,633,6,Yearly,43,1,167583,0.9963415165360848,High Risk
195,1,2144,330,6,Quarterly,55,1,2144,0.9996886672956505,High Risk
196,11,4468,932,0,Monthly,41,1,49148,0.7958428514972241,High Risk
197,57,3216,825,3,Quarterly,31,1,183312,0.7155785783413816,High Risk
198,50,690,865,3,Yearly,59,1,34500,0.9939234119754401,High Risk
199,23,1835,71,4,Quarterly,50,1,42205,0.9946824093032601,High Risk
200,31,3606,309,0,Quarterly,3,0,111786,0.00640917333703179,Low Risk
201,42,878,412,0,Yearly,19,0,36876,0.04104843741704963,Low Risk
202,7,4982,964,6,Monthly,20,1,34874,0.9469533122621245,High Risk
203,16,4329,657,8,Quarterly,2,1,69264,0.7965006574539744,High Risk
204,60,1115,576,0,Yearly,24,0,66900,0.05912800151370525,Low Risk
205,2,2830,629,1,Quarterly,3,1,5660,0.02407951082896623,Low Risk
206,1,2254,312,5,Yearly,57,1,2254,0.9995135981764048,High Risk
207,48,963,779,5,Yearly,46,1,46224,0.9910623673243819,High Risk
208,12,1466,262,1,Yearly,10,0,17592,0.04685256529494693,Low Risk
209,69,4767,743,8,Monthly,15,1,328923,0.9002589107438993,High Risk
210,37,3658,487,3,Monthly,58,1,135346,0.9962635178996657,High Risk
211,32,4124,378,6,Yearly,35,1,131968,0.9891941771742673,High Risk
212,9,1189,688,5,Monthly,5,0,10701,0.33666627012726796,Medium Risk
213,19,3122,950,2,Quarterly,30,0,59318,0.7031437563304906,High Risk
214,48,2712,169,7,Monthly,39,1,130176,0.9953592045322951,High Risk
215,3,882,970,6,Monthly,12,1,2646,0.7802850776322408,High Risk
216,20,2756,175,8,Quarterly,22,1,55120,0.9847365915954785,High Risk
217,24,4310,214,2,Quarterly,51,1,103440,0.983951901554193,High Risk
218,54,4003,276,0,Quarterly,3,0,216162,0.003970743600687598,Low Risk
219,33,1912,147,1,Yearly,36,1,63096,0.635788781852468,High Risk
220,24,2083,377,0,Quarterly,41,1,49992,0.6869049570947094,High Risk
221,36,871,452,4,Quarterly,36,1,31356,0.935103708125195,High Risk
222,38,1110,867,9,Quarterly,43,1,42180,0.999479621473852,High Risk
223,25,615,769,1,Yearly,32,1,15375,0.4936757153994819,Medium Risk
224,18,946,576,2,Monthly,55,1,17028,0.9887765886995996,High Risk
225,66,1891,925,7,Yearly,41,1,124806,0.994335916161051,High Risk
226,54,3824,730,9,Monthly,28,1,206496,0.9945198449649796,High Risk
227,35,1840,26,4,Quarterly,36,1,64400,0.9428510386430953,High Risk
228,61,3439,77,3,Yearly,18,0,209779,0.24177303950172088,Low Risk
229,41,4199,142,4,Yearly,50,1,172159,0.9938983711931353,High Risk
230,33,1573,709,9,Monthly,19,1,51909,0.9826535861776422,High Risk
231,68,4069,928,5,Yearly,31,1,276692,0.9091241688759405,High Risk
232,33,3650,439,6,Yearly,43,1,120450,0.9965623124518126,High Risk
233,14,2105,317,8,Monthly,54,1,29470,0.9998939495700253,High Risk
234,21,2794,659,0,Yearly,15,0,58674,0.044676371284011966,Low Risk
235,48,4162,183,3,Yearly,4,0,199776,0.0514335303479841,Low Risk
236,20,4982,421,8,Quarterly,48,1,99640,0.9997806959984111,High Risk
237,8,1483,106,4,Quarterly,45,1,11864,0.9915515973735124,High Risk
238,7,851,692,7,Quarterly,11,1,5957,0.8563095221547294,High Risk
239,67,2224,163,0,Quarterly,44,1,149008,0.5689872304829038,Medium Risk
240,17,2451,704,3,Quarterly,20,0,41667,0.5146875233096517,Medium Risk
241,33,1779,251,8,Yearly,13,1,58707,0.9145907283782382,High Risk
242,48,2407,313,0,Yearly,36,1,115536,0.37846047089773427,Medium Risk
243,59,1524,294,0,Quarterly,21,0,89916,0.04076931369866337,Low Risk
244,22,1045,36,3,Monthly,29,0,22990,0.7623197484073507,High Risk
245,30,4674,411,2,Quarterly,22,0,140220,0.3916448373302831,Medium Risk
246,38,2881,369,6,Yearly,4,1,109478,0.3696450189264437,Medium Risk
247,51,1388,69,2,Monthly,28,0,70788,0.4060747673980093,Medium Risk
248,54,1605,211,0,Quarterly,58,1,86670,0.9344746112521813,High Risk
249,8,3049,771,9,Monthly,29,1,24392,0.998202605217243,High Risk
250,27,2490,883,1,Quarterly,17,0,67230,0.10330711796519781,Low Risk
251,27,4498,590,9,Yearly,45,1,121446,0.999799293083826,High Risk
252,21,4275,979,3,Quarterly,49,1,89775,0.9904329469426776,High Risk
253,30,3312,379,0,Monthly,51,1,99360,0.9112555163265089,High Risk
254,28,1420,542,0,Yearly,0,0,39760,0.003368222083073752,Low Risk
255,64,2561,161,7,Quarterly,38,1,163904,0.9920771202393748,High Risk
256,69,4987,111,6,Quarterly,16,1,344103,0.6997101191095094,High Risk
257,61,4139,908,7,Quarterly,2,1,252479,0.3879508724255473,Medium Risk
258,48,3665,616,3,Quarterly,41,1,175920,0.9381605002381049,High Risk
259,19,4935,455,5,Yearly,6,0,93765,0.4209468711814417,Medium Risk
260,4,3144,882,2,Yearly,26,1,12576,0.6441534360444067,High Risk
261,35,1545,238,7,Quarterly,27,1,54075,0.9755139888588237,High Risk
262,64,4056,134,3,Yearly,43,1,259584,0.9373561362588464,High Risk
263,49,3181,779,2,Monthly,53,1,155869,0.976327221854132,High Risk
264,17,3699,843,3,Yearly,30,0,62883,0.8509284396673753,High Risk
265,44,1438,890,5,Monthly,14,0,63272,0.4831985293059114,Medium Risk
266,30,941,947,6,Monthly,54,1,28230,0.9991886825469107,High Risk
267,46,3050,245,6,Yearly,52,1,140300,0.9987536814777606,High Risk
268,6,4725,171,3,Quarterly,47,1,28350,0.9912357497125575,High Risk
269,37,1096,563,7,Yearly,7,1,40552,0.6248765225066996,High Risk
270,24,2005,797,6,Monthly,5,1,48120,0.4599347254508663,Medium Risk
271,46,1361,362,1,Monthly,27,0,62606,0.23337996860761348,Low Risk
272,53,3140,77,7,Yearly,3,1,166420,0.44161004917117086,Medium Risk
273,60,4231,182,8,Monthly,29,1,253860,0.9889897686185462,High Risk
274,63,2051,852,4,Yearly,42,1,129213,0.9572536319495499,High Risk
275,32,3736,646,3,Yearly,16,0,119552,0.3205339228106422,Medium Risk
276,33,2236,691,3,Quarterly,33,1,73788,0.8411474972646137,High Risk
277,67,1949,568,3,Monthly,59,1,130583,0.992259987803934,High Risk
278,18,764,270,5,Yearly,5,0,13752,0.28214569870089284,Low Risk
279,25,3159,226,3,Monthly,35,1,78975,0.9059345188453135,High Risk
280,54,3221,826,6,Yearly,34,1,173934,0.9771079227127004,High Risk
281,58,1962,133,6,Yearly,38,1,113796,0.9841921367603153,High Risk
282,67,4752,814,4,Quarterly,38,1,318384,0.9379184568149859,High Risk
283,46,1945,171,4,Yearly,15,0,89470,0.3391265050390338,Medium Risk
284,24,2798,210,9,Quarterly,1,1,67152,0.8343015361976452,High Risk
285,32,3425,463,7,Monthly,7,1,109600,0.7099649052572358,High Risk
286,47,2132,411,6,Quarterly,14,1,100204,0.6706893412835959,High Risk
287,23,2874,471,6,Quarterly,26,1,66102,0.9605928756084733,High Risk
288,66,1012,284,5,Monthly,15,0,66792,0.38527600076511426,Medium Risk
289,27,715,215,6,Quarterly,0,1,19305,0.24081043876905117,Low Risk
290,2,3831,49,6,Quarterly,58,1,7662,0.999834881275532,High Risk
291,17,2672,282,9,Yearly,9,1,45424,0.9522535780626046,High Risk
292,33,3653,709,1,Quarterly,6,0,120549,0.02071979821817719,Low Risk
293,9,2206,876,9,Yearly,47,1,19854,0.9998725685099623,High Risk
294,43,2606,102,1,Quarterly,9,0,112058,0.02308978011952676,Low Risk
295,48,2067,51,9,Monthly,11,1,99216,0.925509098751901,High Risk
296,39,2708,474,6,Monthly,16,1,105612,0.7806091184848152,High Risk
297,42,2831,388,9,Quarterly,44,1,118902,0.9995994551446611,High Risk
298,26,2653,116,6,Yearly,11,1,68978,0.688201619701722,High Risk
299,50,1628,337,6,Quarterly,14,1,81400,0.6419955928829764,High Risk
300,25,4010,74,4,Yearly,45,1,100250,0.9907038209305455,High Risk
301,24,4823,374,0,Quarterly,50,1,115752,0.9233063748160455,High Risk
302,13,4153,830,1,Monthly,31,1,53989,0.6240032966518466,High Risk
303,60,2865,493,8,Monthly,31,1,171900,0.9905007044424905,High Risk
304,7,3421,656,7,Yearly,50,1,23947,0.9996912288726153,High Risk
305,57,1579,910,7,Quarterly,25,1,90003,0.9466862468028505,High Risk
306,36,4011,33,9,Yearly,13,1,144396,0.9653784906858284,High Risk
307,45,3241,549,0,Monthly,49,1,145845,0.8414785089743494,High Risk
308,20,3520,71,5,Yearly,25,0,70400,0.9180954879073211,High Risk
309,65,728,500,8,Quarterly,4,1,47320,0.5326893689975128,Medium Risk
310,8,670,282,7,Yearly,51,1,5360,0.9996272566060375,High Risk
311,16,794,238,2,Quarterly,37,1,12704,0.8503991433052018,High Risk
312,14,4784,29,3,Quarterly,49,1,66976,0.9923043146469724,High Risk
313,15,925,12,2,Monthly,45,1,13875,0.9528671651974946,High Risk
314,66,1418,430,5,Quarterly,3,0,93588,0.09397321778091178,Low Risk
315,32,3753,739,8,Quarterly,27,1,120096,0.9916462593895506,High Risk
316,63,998,920,7,Quarterly,54,1,62874,0.9992022099350454,High Risk
317,51,3309,316,9,Yearly,0,1,168759,0.7115435276275662,High Risk
318,25,1325,441,3,Monthly,12,0,33125,0.18452922433109525,Low Risk
319,58,4279,145,1,Yearly,42,1,248182,0.7652452700305745,High Risk
320,63,2358,918,7,Yearly,2,1,148554,0.3299361176256049,Medium Risk
321,62,2618,953,7,Monthly,48,1,162316,0.9983753151499274,High Risk
322,22,645,524,5,Yearly,49,1,14190,0.9967607593273465,High Risk
323,58,4077,202,7,Yearly,24,1,236466,0.952116390466453,High Risk
324,58,692,594,8,Quarterly,41,1,40136,0.9974749524109162,High Risk
325,49,4388,424,0,Yearly,15,0,215012,0.028761056825403787,Low Risk
326,52,551,882,8,Monthly,20,1,28652,0.9463294335430338,High Risk
327,42,2910,127,1,Yearly,12,0,122220,0.03822435955845099,Low Risk
328,70,2320,675,0,Quarterly,51,1,162400,0.785311851689713,High Risk
329,15,3464,218,7,Yearly,43,1,51960,0.998917469979293,High Risk
330,54,3021,961,7,Monthly,35,1,163134,0.9905402103722334,High Risk
331,60,2369,43,3,Quarterly,7,0,142140,0.05038491919325481,Low Risk
332,8,3068,658,7,Yearly,43,1,24544,0.999034499128913,High Risk
333,53,2367,327,6,Monthly,18,1,125451,0.7714189601370848,High Risk
334,60,3238,129,1,Monthly,46,1,194280,0.8362126528253815,High Risk
335,5,3769,636,4,Yearly,59,1,18845,0.999292446106731,High Risk
336,68,3699,534,9,Yearly,15,1,251532,0.946132834360232,High Risk
337,6,3079,590,3,Quarterly,11,0,18474,0.26881614126948905,Low Risk
338,47,4505,946,2,Yearly,19,0,211735,0.21227762842635664,Low Risk
339,55,740,854,0,Quarterly,17,0,40700,0.02247099060777955,Low Risk
340,40,3940,778,4,Yearly,53,1,157600,0.99611770359649,High Risk
341,52,1907,98,9,Monthly,11,1,99164,0.9175408642180161,High Risk
342,16,4002,521,7,Monthly,47,1,64032,0.9994373003920928,High Risk
343,13,4538,56,8,Monthly,24,1,58994,0.9921694645408757,High Risk
344,30,582,781,6,Monthly,59,1,17460,0.9996078712181096,High Risk
345,19,4268,749,0,Quarterly,51,1,81092,0.9365644935720241,High Risk
346,17,1450,968,0,Monthly,10,0,24650,0.01991774584424651,Low Risk
347,63,1110,701,0,Quarterly,21,0,69930,0.03564152389348242,Low Risk
348,19,4105,531,1,Quarterly,51,1,77995,0.9689330940040437,High Risk
349,58,3783,293,0,Quarterly,45,1,219414,0.6939836718093213,High Risk
350,55,2673,386,3,Yearly,33,1,147015,0.7708524780377746,High Risk
351,62,3984,647,9,Quarterly,12,1,247008,0.929235358585845,High Risk
352,23,2022,143,8,Yearly,45,1,46506,0.9994747183510854,High Risk
353,9,3101,676,3,Quarterly,37,1,27909,0.9494405525940504,High Risk
354,12,3157,257,3,Yearly,11,0,37884,0.24431948934476344,Low Risk
355,1,2659,661,6,Yearly,38,1,2659,0.9960061190778448,High Risk
356,58,2949,327,8,Monthly,35,1,171042,0.9951209528794682,High Risk
357,1,4330,445,6,Quarterly,27,1,4330,0.982377166218894,High Risk
358,34,621,185,0,Yearly,26,0,21114,0.12778434482137904,Low Risk
359,48,4868,844,0,Monthly,38,1,233664,0.5242747987762579,Medium Risk
360,1,1817,695,3,Quarterly,12,1,1817,0.2934609971512459,Low Risk
361,16,4993,595,3,Monthly,42,1,79888,0.9772674171376663,High Risk
362,61,3018,360,0,Yearly,39,1,184098,0.4349386942123968,Medium Risk
363,64,1730,152,5,Monthly,26,0,110720,0.79479850461194,High Risk
364,63,1633,976,9,Monthly,50,1,102879,0.9997039799423272,High Risk
365,69,1801,813,1,Quarterly,30,0,124269,0.23075187196170713,Low Risk
366,22,4534,407,4,Yearly,1,0,99748,0.12237514859796267,Low Risk
367,67,2410,633,7,Quarterly,52,1,161470,0.9989905775177557,High Risk
368,26,2005,727,2,Quarterly,17,0,52130,0.19347417636355876,Low Risk
369,16,3685,652,8,Monthly,25,1,58960,0.992060414025538,High Risk
